"Title","Genres","Minimum Age Required","Streaming Service","Debut Year","Run Time","Review","Num Seasons","Still Running"
The Wire,Crime;Political Thriller;Drama,16,HBO;Amazon Prime,2003,60,96,5,N
Mr Robot,Psychological Thriller,16,Amazon Prime,2015,45,96,2,Y
Its Always Sunny in Philadelphia,Comedy,16,Netflix;Hulu,2006,23,98,11,Y
The West Wing,Political Thriller;Drama,16,Netflix,1999,42,84,7,N
Fargo,Psychological Thriller;Comedy,16,Hulu;Amazon Prime,2014,48,98,2,Y
Game of Thrones,Fantasy/Sci-Fi,17,HBO,2007,60,95,6,Y
Westworld,Fantasy/Sci-Fi,16,HBO,2016,60,89,1,Y
The Newsroom,Political Thriller;Drama,16,HBO,2012,60,63,3,N
The Sopranos,Crime,16,HBO;Amazon Prime,1999,60,97,6,N
Silicon Valley,Comedy,16,HBO,2014,30,98,3,Y
Veep,Comedy,16,HBO,2012,30,90,5,Y
Vice Principals,Comedy,16,HBO,2016,30,63,1,Y
Mad Men,Drama,16,Netflix,2007,47,94,7,N
Breaking Bad,Crime;Drama,15,Netflix;Amazon Prime,2008,43,95,5,N
Better Call Saul,Crime;Drama,15,Netflix,2015,43,97,2,Y
The Man In The High Castle,Fantasy/Sci-Fi,16,Amazon Prime,2015,48,78,2,Y
Seinfeld,Comedy,10,Hulu,1989,22,84,9,N
South Park,Comedy,17,Hulu,1997,22,91,20,Y
A Series of Unfortunate Events,Comedy,10,Netflix,2017,43,94,1,Y
House of Cards,Political Thriller;Drama,16,Netflix,2012,43,84,5,Y
Spongebob Squarepants,Comedy,6,Amazon Prime,1999,22,81,10,Y
BoJack Horseman,Comedy,16,Netflix,2014,22,85,3,Y
Baskets,Comedy;Drama,16,Hulu;Amazon Prime,2017,23,85,1,Y
Rick and Morty,Comedy,16,Hulu,2013,22,100,2,Y
Californication,Comedy;Drama,16,Hulu;Netflix;Amazon Prime,2007,29,51,7,N
Comedy Bang Bang,Comedy,13,Netflix,2012,22,70,5,N
Shameless,Comedy;Drama,17,Netflix;Hulu;Amazon Prime,2011,45,77,7,N
American Horror Story,Psychological Thriller,16,Netflix;Amazon Prime;Hulu,2011,45,77,6,Y
Bates Motel,Psychological Thriller;Drama,16,Hulu;Amazon Prime,2013,45,91,5,Y
Atlanta,Comedy;Drama,16,Hulu;Amazon Prime,2016,23,100,1,Y
Kung Fu,Drama,13,Amazon Prime,1972,50,81,3,N
Avatar: the Last Airbender,Fantasy/Sci-Fi;Comedy;Drama,6,Hulu,2005,22,91,3,N
Regular Show,Comedy,6,Hulu;Netflix;Amazon Prime,2010,22,83,8,N
Eastbound and Down,Comedy,16,HBO;Amazon Prime,2009,28,82,4,N
